text,positive
"meine absolute Nummer 1",1
"Der Hammer!",1
"Lieblingswurst",1
"Der beste vegane Aufschnitt!",1
"großartig",1
"Unglaublich",1
"Schmeckt recht gut",1
"Die beste Salami der Welt!",1
"So lecker!",1
"Hau rein in den Hot dog",1
"Unfassbar lecker",1
"Heiß & kalt einfach lecker",1
"Von der Echten fast nicht zu unterscheiden",1
"Top Ersatzprodukt!",1
"Sehr gut",1
"super",1
"Top!",1
"Keine Ausnahme",1
"Lieblingsschnitzel",1
"Schmeckt mir",1
"Schmeckt super lecker",1
"Mega lecker!!",1
"Nachkaufprodukt",1
"Mega Hähnchenschnitzel",1
"Würde auch 10 Sterne geben",1
"Absolut perfekt :D",1
"Beste Schokolade",1
"Die leckerste Schokolade neben dem Vego Riegel, vielleicht noch besser",1
"KAUFEN!!!!!",1
"Superlecker",1
"MEGA!!!!",1
"Oberlecker !!!!",1
"Unfassbar lecker",1
"Waaahnsinnig lecker!",1
"Lieblingsschokolada",1
"So lecker!",1
"Superlecker!",1
"Ein Genuss",1
"Gelungene Premiere",1
"ist okay",1
"Toller Geschmack",1
"Begeistert!",1
"Boah...",1
"die beste vegane Mayo",1
"Beste Mayo ever",1
"Einfach die beste",1
"Super",1
"Perfekte Alternative",1
"Ich finds mega lecker. Auf Brot, im Salat, zu Pasta .. alles.",1
"Gut verträglich",1
"ein meiner Lieblingsprodukte",1
"beinah perfekt",1
"nicht schlecht",1
"Tolle Alternative zu Thunfisch!",1
"Einfach lecker!",1
"schmeckt gut!",1
"erstaunlich gut",1
"für Nudelgerichte",1
"Für Pizza perfekt",1
"Lecker",1
"echt lecker",1
"Lecker",1
"Überraschend echt",1
"Wow, was für ein Geschmack!",1
"Sehr gute und schmackhafte Wurst.",1
"Die Beste",1
"Was soll ich sagen... für mich perfekt",1
"Fast sehr gut",1
"Lecker",1
"Sehr gut ohne Tierleid",1
"Das beste V-Schnitzel, das ich bis jetzt probiert habe",1
"beste schnitzel alternative",1
"Super",1
"Für mich die beste Schnitzelalternative",1
"Für mich, Liebe beim ersten Biss",1
"Super!",1
"super",1
"Schmeckt wie Fleischsalat, nix zu meckern!",1
"Einfach Klasse wie der Echte aber ohne Tierleid",1
"Fast wie der Echte",1
"sehr gute Alternative",1
"Super lecker",1
"sehr lecker",1
"Bombe!!!",1
"Lecker",1
"Sehr lecker, aber nicht exakt das selbe!",1
"Superlecker",1
"total überzeugend",1
"Ultra gut!",1
"Gute Konsistenz!",1
"Nicht schlecht",1
"Genuss Pur",1
"Delicious!",1
"Seh sehr lecker",1
"Wirklich lecker!",1
"Super lecker!",1
"Mmmmmmmh",1
"Richtig lecker!",1
"Sooo lecker!",1
"Nicht schlecht, waren früher aber besser",1
"Als Hotdog mehr als überzeugend",1
"Einfach lecker!",1
"Sehr lecker",1
"beste vegane Bockwurst",1
"Die bisher beste vegane Wurst",1
"Einfach perfekt",1
"leeecker!!",1
"Schmeckt wie echt!",1
"Beste Bockwurst aller Zeiten",1
"lecker!",1
"Sehr beliebt in meiner Familie",1
"Super lecker",1
"Der schmeckt pfeffrig-pfiffig",1
"Sehr lecker",1
"Bin Fan",1
"Ein sehr leckeres Lieblingsessen",1
"auch für Pizza geeignet",1
"Gewusst wie",1
"Super!",1
"Leckere Alternative zu Fisch",1
"Für ""Fischfans"" super geeignet",1
"Delicious",1
"Bester Käse",1
"Bester Käse",1
"Besser geht`s kaum",1
"Super Abwechslung",1
"Lecker :)",1
"Super lecker!",1
"Würzig und fest",1
"Wir lieben sie!",1
"Nur zu empfehlen",1
"super schokoladig",1
"Super Pudding, genau richtig",1
"Suuuuper für Gelüste!",1
"Sehr lecker!!",1
"Schokotraum",1
"Lecker bei Schokogelüsten ;)",1
"Sehr gelungen",1
"Voll lecker!",1
"Sehr lecker!",1
"super",1
"meeeega!!",1
"Super lecker!",1
"Genial",1
"Entgegen anderer Bewertungen der geilste Leberkäs überhaupt!",1
"Sehr gelungen",1
"Schmeckt fast wie richtiger.",1
"Wie Geflügelfleischwurst",1
"Schmeckt wirklich sehr gut",1
"Super zu Nudeln mit roter Soße!",1
"Meeeeega!!!",1
"Perfekte vegane Alternative zum Original.",1
"super lecker, super schokoladig",1
"Geschmacklich sehr gut - Man muss es mögen - Mal was ganz anderes",1
"Bestes Hack überhaupt",1
"Super Alternative zu Sojahack",1
"Spitzenprodukt, hierdurch haben sich viele neue leckere Türen geöffnet. hätte noch gerne mehr als Note 10 vergeben",1
"Geniale Alternative zu Hackfleisch!",1
"Super Alternative zu Sojaschnetzeln",1
"Die Pralinen sind genial, aber...",1
"Absolut lecker",1
"Das leckerste, was gibt! :-)",1
"extrem lecker",1
"Hält nicht lange, weil so lecker",1
"4 Spacebars Probierset",1
"Die beste snack wurst überhaupt!",1
"Super lecker!",1
"Veganer Wurstsnack",1
"Beste Snackwurst überhaupt! :D",1
"Wir sind begeistert!",1
"Schmeckt nach normalem mildem Käse",1
"Waaahnsinn!!!!",1
"Eine geschmacklich tolle Käsealternative",1
"Ja mit einer Einschränkung",1
"Soooo lecker!",1
"Super lecker!",1
"Terrible",1
"Überzeugt Veganer, Vegetarier und Omni!",1
"Da wird ja der Hahn in der Pfanne verrückt",1
"Noch Luft nach oben",1
"Erstaunlich",1
"Interessanter Geschmack",1
"Schmeckt nach mehr",1
"Empfehlenswert",1
"Faszinierend Lecker",1
"Geiles Zeug",1
"Tolles Produkt!",1
"Eher süß",1
"Sehr lecker",1
"die beste!",1
"Beste Schoki",1
"Einfach Klasse !",1
"Super!",1
"Zu empfehlen",1
"schmeckt mir recht gut",1
"Konnte ihn nicht probieren",1
"Extrem lecker",1
"lecker und günstig",1
"Sehr gut mit viel Protein",1
"Lieblingswurst",1
"einfach lecker",1
"Bester",1
"Mein Lieblingsprodukt!",1
"Ganz gut.",1
"Lecker",1
"Top!",1
"Sooo lecker!!!",1
"Super! ☺️",1
"Hammer!",1
"Himmlisch!",1
"Volle Blattzahl",1
"Wie frisch selbstgemacht",1
"Guter Ersatz",1
"Ein ECHTER Ei-Ersatz",1
"Welche Pizza darf es sein?",1
"schmeckt super",1
"Die beste ""Leberwurst""",1
"Ordentliches Geschmackserlebnis und kaufenswert",1
"Dieser Ersatz darf sich Pfälzer Leberwurst nennen, klasse :)",1
"Ultra lecker!",1
"Ungenießbar!",1
"Kein Kochschinken, aber egal",1
"Einfach TOP",1
"Sehr lecker",1
"zum Anbraten / Überbacken sehr gut",1
"Für bestimmt Speise.",1
"Nicht mehr gut :-(",1
"Super Produkt",1
"klein aber fein",1
"Schokolade pur :P",1
"Das Beste was es gibt!",1
"Das Kartoffel Curry gehört zu meinen Favoriten. Sehr lecker :)",1
"Sehr lecker",1
"Tolles, abgerundetes und Aromatisches Erlebniss",1
"Vielseitig und sehr, sehr lecker",1
"Schmeckt mir sehr",1
"Total lecker",1
"Top Geschmack",1
"Superlecker",1
"Würzig lecker!",1
"Schön blaubeerig!",1
"Cremig und lecker",1
"Saulecker :)",1
"Sehr, sehr lecker",1
"Für cremige Soßen",1
"Beste Sahne!",1
"gut !",1
"Ersatz für Kondensmilch",1
"Tolle Alternative - aber Plastikmüll zu gross",1
"Eine super Milchalternative im Kaffee",1
"Einfach die besten veganen Wiener",1
"Gut",1
"Werden wir wieder kaufen!",1
"Schreit nach mehr",1
"Großartig",1
"Lieblingsmilch",1
"Unglaublich gut",1
"Würzig und angenehme Konsistenz",1
"Super lecker",1
"super",1
"Schmeckt :)",1
"Mega lecker",1
"Mir gefällt's!",1
"SÜß und lecker",1
"Bester Veganer Feta Käse!",1
"Absoluter Lieblingkäse!",1
"Bester Veganer Feta Käse!",1
"etwas Besonderes",1
"Super",1
"Heute unbedingt wieder aus DIESEM Glas!",1
"Lecker!",1
"Toll!!!!!!!",1
"Immer wieder gern gesehen",1
"geschmacklich sehr gut",1
"Schon vor dem backen fast leer...",1
"Dieser Tofu hält was Speck verspricht",1
"Tolles Produkt!",1
"Tolles Produkt",1
"okay",1
"Mild und cremig",1
"Perfekt!",1
"Top",1
"soooo lecker",1
"Super",1
"solide, würzige variante mit tollen nährwerten",1
"Bester Fleischersatz",1
"Genau wie Honig",1
"Super leckere Alternative ♥",1
"Deliciousness",1
"ENDLICH HANUTA IN VEGAN",1
"superlecker",1
"Wundervoll...",1
"Mandel-Barista- Sehr guter Geschmack, ohne störendes Soja/Hafer-Aroma",1
"Richtig lecker!!!",1
"Sehr lecker und aromatisch",1
"Bester Mozzarella-Ersatz, den ich kenne",1
"Bester Mozzarella-Ersatz!",1
"voll geil, wie echter mozerella",1
"Sehr zu empfehlen",1
"Gute Kombi!",1
"Gute Würstchen",1
"Vegan & Bio!",1
"Lecker",1
"Perfektes ""Gulasch""",1
"Bester Milchersatz für den Kaffee",1
"Bester Barista Haferdrink",1
"Toller Geschmack und toller Schaum",1
"Bin begeistert!",1
"Mega!",1
"schnell und lecker",1
"Köstlich",1
"sehr lecker!",1
"Einfach Lecker!",1
"Erfrischend",1
"Sehr, sehr lecker!",1
"Vielfältig!",1
"Tolles Produkt!",1
"Perfekte Bio-Grundlage für vegane Gerichte",1
"Schockopudding",1
"Perfekt fürs Büro",1
"Gute Zutaten und guter Geschmack",1
"Perfekt für die Mittagspause",1
"Gut mit dezentem Aha-Effekt",1
"Gesund und lecker",1
"Lecker!",1
"Hervorragend gute Schokolade",1
"Perfekt gelungenes Bio-Produkt!",1
"Praktisch!",1
"Super!",1
"Super lekere Bratwurst",1
"Tolle Bratwurst",1
"Gut für mich und lecker",1
"Wahnsinnig lecker",1
"Top Preis-Leistungsverhältnis",1
"Super Praktisch!",1
"Lecker!",1
"Beste Alternative zur echten Bratwurst",1
"Richtig Tolles Produkt!",1
"konsistenz wie echt wurst",1
"Fest, super Brateigenschaft",1
"total lecker",1
"Gute Basis",1
"Schmecken wirklich wie Käsenudeln",1
"Ein eigenständiges Gericht",1
"Super lecker!",1
"Lecker für die ganze Familie",1
"Für vegane Naschkatzen!",1
"Man kann süchtig werden, der ist super!",1
"Richtig Tolles Produkt!",1
"Gut!",1
"Nach Jahrelangen Tests die Beste gefunden",1
"Toll!",1
"Sehr gut!",1
"Mild und nussig",1
"SUPER!",1
"Saulecker",1
"überaschung-hätt ich nicht gedacht..",1
"Sehr gute Alternative",1
"Gute Alternative",1
"Suchtgefahr",1
"Einfach Lecker!",1
"Dieses Produkt..",1
"Überzeugt jung und alt",1
"Richtig Lecker!",1
"FRUCHTIG",1
"Sehr lecker",1
"Richtig Tolles Produkt!",1
"total klasse!",1
"CREMIGER ALS VIELE MILCHSCHOKOLADEN.",1
"Superlecker!!!!!",1
"..einfach superrrrrr",1
"Grandios !",1
"Super lecker",1
"Köstlich",1
"eines meiner Lieblings-Fertiggerichte",1
"SUPI!",1
"Super lecker!",1
"Vielseitig trotz exotischer Gewürze",1
"Prima!",1
"Tolles glutenfreies Bio-Produkt",1
"Lecker",1
"Super!",1
"bester Burger ever",1
"tolles produkt",1
"Klasse!",1
"Perfekt!",1
"bester Eiersatz den ich bisher probiert habe",1
"Top!",1
"Tolles Produkt!",1
"Megalecker!",1
"herzhaft, pikant,köstlich",1
"veganes produkt in top bio-qualität",1
"ICH WILL MEHR DAVON",1
"Lecker Schoko-Cookies!",1
"Supeeeer Lecker",1
"totaaaal lecker",1
"Die Königin unter den Spaghetti",1
"Anders aber genauso gut",1
"Regionale Köstlichkeit",1
"Top!",1
"Tolles Produkt, das auch noch Bio ist!!!",1
"bestes veganes, zuckerfreies müsli!",1
"top",1
"sehr lecker!",1
"Perfekt für kalte Tage",1
"Super Produkt",1
"Top Geschmack",1
"lecker",1
"Vielseitig einsetzbar",1
"Unglaublich lecker, darf auf keinem Campingausflug fehlen",1
"Saftig und frisch",1
"Top!",1
"Top",1
"glutenfrei, zuckerfrei & bio!",1
"köstlich!",1
"Einfach köstlich!",1
"Megalecker",1
"Gelungen!",1
"Klasse!",1
"Guter Geschmack - Schnell zubereitet - Nicht zu süß",1
"Lecker",1
"Klasse!",1
"Super Lecker",1
"Nix zu meckern",1
"Vergleichbar mit echter Wurst",1
"Der Knall im All",1
"Bestes Produkt!",1
"sehr lecker!",1
"Super",1
"In Rotweinsoße geschmort sehr sehr lecker!",1
"So viel Frucht!",1
"Sehr einfach und lecker",1
"Solides, haltbares, günstiges Basisprodukt",1
"Bester veganer Fleischersatz!",1
"Lecker",1
"Hmm!",1
"top!",1
"Schokofan empfiehlt..",1
"Genuss pur!",1
"Sehr lecker",1
"Super Produkt!",1
"Top!",1
"lecker und knusprig",1
"Perfekt!",1
"Toll zur Vorbeugung verschiedener Krankheiten",1
"Mega lecker!",1
"Toll als leckeres Geschenk",1
"Empfehlenswert",1
"Supi!",1
"top!",1
"Großartig",1
"Tip top",1
"Supi!",1
"Perfekt gelungenes Produkt!",1
"Sayve kann!",1
"Begeistert!",1
"Guter Geschmack und guter Preis!",1
"Mini-Bounty in gut.",1
"wirklich gut",1
"Sehr gutes Produkt!",1
"Vegan, Bio und verdammt lecker!",1
"Tolles Lupinenschnitzel",1
"Bestes Produkt",1
"Lecker :)",1
"Himmlisch!",1
"Lecker, doch zum Abnehmen völlig ungeeignet",1
"Leckerer Orangengeschmack",1
"Super",1
"Super!",1
"Top!",1
"top",1
"Finde ich toll",1
"Absolut lecker!",1
"Einfach Spitze und verdammt lecker!",1
"Lecker!",1
"Nur zu Empfehlen!",1
"leckerrrr",1
"tolles und frisches Aroma",1
"Sehr gut!",1
"Überzeugendes Produkt!",1
"Resümee nach inem viertel Jahr",1
"Ständig vergriffen...",1
"Ideal für Zwischndurch-Naschkatzen",1
"Top Bio-Qualität zu einem Top-Preis!!!",1
"Mal was anderes auf Brot",1
"Fazit nach 2 Monaten: Top!",1
"Top im Geschmack!",1
"Maisnudeln sind nur zu empfehlen",1
"perfektes veganes produkt",1
"Super lecker, mal was anderes",1
"Bio-Brot der Extraklasse!",1
"Echte Geschmacksexplosion und Gaumenfreude",1
"Schick, lecker",1
"Einsame Spitze!",1
"Tolles veganes Bio-Protein!!",1
"Toller Mix",1
"Liefert Energie fürs Training!",1
"Vegan & Bio!",1
"Richtig Lecker!",1
"Vegan & Nachhaltig",1
"Hält was es verspricht!",1
"Perfekte Bio-Beilage!",1
"Nur zu Empfehlen!",1
"Super",1
"Fantastsich!",1
"Traumhafte Kekse",1
"Mmmmhhhh ;)",1
"Unglaublich lecker",1
"Lecker!",1
"Sehr lecker!",1
"Mega",1
"tolles Produkt",1
"Total super!",1
"Wahnsinnslecker",1
"Klasse!",1
"Was ne Wurst",1
"sooo lecker",1
"Toller Geschmack",1
"Ü Ei Ersatz",1
"Oberhammer!!!!",1
"Super lecker!",1
"Geniale Leckerei!",1
"Ist der Knaller ...",1
"Der Hammer!",1
"Der Hammer!",1
"wahnsinn",1
"Perfekter Rauchgeschmack",1
"Gutes Preis-Leistungs-Verhältnis",1
"Empfehlenswert!",1
"Einfach lecker!",1
"Sehr lecker!",1
"sehr saftig",1
"In jeder Bestellung ...",1
"Fast wie früher vom Bäcker",1
"Wie von meinem Bäcker",1
"Sooo gut!",1
"Mega!!",1
"ein Genuss",1
"Ein Muss",1
"So lecker!",1
"Liebe auf den ersten Blick",1
"Tortenkringel!",1
"Mein Wunsch wurde erhört!",1
"So lecker!",1
"Sehr lecker",1
"Perfekt zum Grillen",1
"super für Haiwaiitoast",1
"überraschend lecker",1
"Liebling für den Kaffee!",1
"Beste Milchalternative, vor allem für Cappuccino",1
"die Beste",1
"endlich angekommen...",1
"Meeegaaa",1
"Eccezionale",1
"Die Beste - einfach genial & lecker !!!!!!!!!!",1
"bester Milchersatz zum Schäumen",1
"Macht meinen Kaffee perfekt!",1
"habe Oatly für mich in Schweden entdeckt und bin begeistert - mit der Kochsahne lassen sich auch wundervolle Salatdressings zaubern und die schäumbare Milch ist einfach nur wundervoll- ohne Tierleid. ohne weinende Kälber",1
"Super lecker!",1
"einzige wahre Milchalternative",1
"der beste Schaum für gute Oatlatte",1
"Endlich in Deutschland erhältlich!!!!",1
"Würziger Geschmack, angenehme Konsistenz",1
"Super lecker",1
"Geil",1
"Mmmmh",1
"Diabetes Pur, aber unglaublich lecker",1
"Super fudgy!!!!",1
"Sündhaft lecker",1
"SO lecker!",1
"Neuer Liebling",1
"Der beste Aufstrich von Zwergenwiese",1
":)",1
"Perfekt",1
"Leckerer Snack auch zum Mitnehmen",1
"Nur zu Empfehlen!",1
"Perfekter Schaum",1
"Sehr gut",1
"Mega Gut !",1
"Yammi",1
"Wie echter Käse",1
"Bester veganer Käse",1
"Sehr gut",1
"Mega lecker!",1
"Zart schmelzend mit sanftem Kräutergeschmack",1
"Suchtgefahr",1
"Super lecker!",1
"Super, kein typischer Tofubeigeschmack.",1
"Lecker!",1
"Toll!",1
"Sehr, sehr guter Bioaufstrich",1
"Toller Geschmack",1
"Super Produkt",1
"Bester, Tollster, Leckerster!",1
"Fantastisch! MEGA LECKER!",1
"SPITZE",1
"Lecker",1
"Soo lecker!",1
"Kaum zu toppen!",1
"Besser geht es nicht !",1
"Bester Kaffe",1
"veganer brotaufstrich in top bio-qualität",1
"perfekter glutenfreier, veganer Eiweiß-Ersatz!",1
"Zufriedenstellend",1
"Der Wahnsinn!",1
"Geht doch!",1
"Köstlich",1
"Super",1
"Top Produkt!",1
"Sie schmecken !",1
"Wahnsinn! Der Hammer!",1
"Empfehlenswert",1
"Klassisch gut",1
"Vielseitig einsetzbar und superlecker",1
"Leider ein kompletter Reinfall",1
"Besser als das Original",1
"Nicht nur was für Kinder",1
"Suchtgefahr",1
"veganer volltreffer!",1
"Schmackhaft!",1
"Leckeres Proteinpulver",1
"Gelungenes Bio-Proteinpulver!",1
"Guter Protein-Drink",1
"Nach langer Suche endlich das Perefekte Pulver für mein Training gefunden",1
"Richtig Lecker!",1
"Megalecker",1
"Lecker und weniger Plastikmüll!",1
"Perfekt",1
"Würzig, fest und köstlich",1
"Die Salami ist vom Geschmack und der Konsistenz sehr gut",1
"Top",1
"sehr,sehr lecker",1
"Meine Empfehlung",1
"Pflicht vor jedem Training",1
"in love",1
"Überzeugt nihct-veganen Freund",1
"Genau richtig für mein Training",1
"Überzeugt",1
"Besser als Ente",1
"Verliebt!",1
"Ton genau getroffen",1
"Einfach nur köstlich!",1
"Tolles Produkt",1
"Mein Liebling",1
"Wundervolle Alternative bei Fleischeslust statt Frust",1
"Das ich das noch erleben darf...",1
"Bin begeistert!",1
"Wunderbar vielseitig und lecker",1
"Das absolut BESTE Vleisch der Welt!",1
"Bestes Vleisch!",1
"Fester Bestandteil unserer Küche",1
"schmeckt faszinierend!",1
"Fantastisch",1
"Perfekt für Weihnachten!",1
"Super!",1
"Einfach nur lecker",1
"Echt nur pflanzlich?",1
"Boah!",1
"Erste KLASSE",1
"Absolut Empfehlenswert!",1
"ein wahnsinn:)",1
"Unglaublich gut!",1
"Hat mich überzeugt",1
"Soooooooooo lecker!",1
"Toll",1
"Bester veganer Schinken",1
"Sehr lecker - wie Bacon",1
"Riecht und schmeckt wie echt",1
"Der kann was!",1
"Der perfekte Bacon-Ersatz",1
"Hotelfeeling mit Baked Beans!",1
"Richtig lecker",1
"Super!",1
"Der leckerste Nicht-Speck der Welt",1
"Erstes Gericht und schon begeistert.",1
"Gebraten eine Wucht",1
"Love it!",1
"Richtig Gut!",1
"Tolles Produkt!",1
"Sehr guter Tofu",1
"Alle mal herhören!",1
"Toll!",1
"Nicht mein Fall",1
"Nicht mein Fall",1
"Folsäure-Vegi-Kapseln",1
"Rundum Gelungenes, veganes Bioprodukt für Sportler!",1
"Perfekter veganer Trainingspartner!",1
"Gesund und lecker!",1
"100% vegan, glutenfrei & laktosefrei",1
"Hefefrei & Bio",1
"Der Beste!",1
"Ein tolles Bio-Produkt!",1
"auch was für schlechte Köche ;)",1
"Bester Ei-Ersatz zum Backen!",1
"Perfektes Produkt für die vegane Küche!",1
"Toll!",1
"Super Lecker",1
"Überzeugendes Bio-Produkt!",1
"Top!!",1
"Einsame Spitze!",1
"Super",1
"Perfekt!",1
"Shmeckt gut.",1
"Favorit unter Suppenpulvern",1
"Prima Produkt für ein schnelles gutes Familienessen",1
"In der Pfanne mit etwas Öl sehr lecker!",1
"Jedes Jahr zu Weihnachten, einfach zu lecker um es immer zu essen:)",1
"Sojafrei, Zuckerfrei & Bio!!",1
"Super leckerer Tee!",1
"Kalt im Sommer und heiß im Winter beides super lecker",1
"Perfekt!",1
"100% Zuckerfrei, 100% Bio, 100% Lecker!",1
"Lecker für Müsli",1
"100% Bio! 100% Vegan! 100% Lecker!",1
"Klasse für Faule, aber bewusst lebende Menschen wie mich",1
"Glutenfrei, Bio und verdammt Lecker!!",1
"Super Lecker!!",1
"Der Wahnsinn",1
"Speziell aber gut",1
"nicht mein Fall",1
"Einmal probiert und man will nichts anderes",1
"Einfach wie Honig verwenden",1
"Hammer!",1
"Einfach Perfekt",1
"Super für Feste",1
"100% Bio! 100% Vegan! 100% Lecker!",1
"unverzichtbar lecker",1
"Lecker",1
"Top im Geschmack!",1
"Super lecker",1
"Toller Geschmack",1
"Mein Freund hat sich neu verliebt",1
"Toll!",1
"Schmeckt sehr gut",1
"Vegan, Glutenfrei & Bio-Zertifiziert!!",1
"Total tolles, veganes Bio-Produkt!",1
"Richtig Lecker!",1
"Lieblingsteil!",1
"Gesund dank gekeimten Reis und lecker cremig",1
"Vegan und Bio!!",1
"Super Produkt",1
"Sojafrei, Bio und super praktisch",1
"Unverzichtbar",1
"Super Produkt",1
"Anders, aber gut",1
"Empfehlenswert",1
"Klasse!",1
"Vegan, Bio und verdammt lecker!",1
"Für vegane Pfannkuchenliebhaber, die Bio-Produkte lieben!!",1
"Super leckeres veganes Biogericht!",1
"Super leckeres veganes Gericht!",1
"Köstlich",1
"Für vegane Biofans!",1
"Leckeres veganes Biocroissant!",1
"Love it",1
"Tolles Bio-Produkt!",1
"Überzeugt!",1
"Eine der Besten",1
"Vegan, Bio und Glutenfrei!!",1
"Super.",1
"Super lecker!",1
"Tolle Idee!!!",1
"Tolles Produkt",1
"Perfekt für zwischendurch",1
"Gehaltvolle Zwischenmahlzeit",1
"Toll!",1
"Intensiver Geschmack",1
"mhhhh lecker!",1
"tolles bio-produkt für die vielfältige Küche!!",1
"Bestes Bio-Müsli!",1
"Tolles Produkt",1
"gut",1
"Super!",1
"Paradisisch leckerer Pudding in top Bio-Qualität!!",1
"Bioprodukt, dass auch noch frei von laktose und gluten ist",1
"Perfekt!",1
"Bester Zuckerersatz",1
"Sorgt für einen guten Start in den Tag!",1
"Lecker",1
"glutenfrei, vegan, bio!",1
"Top",1
"Top im Geschmack!",1
"Köstlich",1
"Hmmm!",1
"Beste eifreie Alternative",1
"Vegan, Bio und vielfältig verwendbar!",1
"Richtig Tolles Produkt!",1
"Toller, veganer Bio-Tortenguss!",1
"Die besten Schnellgericht - Brownies in Bio Qualität.",1
"Wahnsinn!",1
"sehr gut",1
"Sehr gut aber....",1
"Rauchig und sehr lecker",1
"Mein ""Lieblings wurst""",1
"alles perfekt",1
"Super praktisch",1
"Wenn die Lust auf Pommes Schranke kommt",1
"Mein veganes Lieblingsdessert!",1
"Fast wie Nachtisch",1
"Best Dip-Sorte",1
"Spitze!",1
"natürlich",1
"Super im Kaffee",1
"Erinnert einen an die Kindheit ;-)",1
"Ein Genuss",1
"Sehr gut",1
"Veganer Ersatz ! Und dass auch noch in Bioqualität!",1
"Tolle, neue Zusammensetzung",1
"Genial",1
"Frei von Palmöl, Vegan und Bio!!!",1
"Toll!",1
"Bester veganer Wurstaufschnitt!",1
"Wenn schon süß und bunt, dann so gesund wie möglich.",1
"Lecker =)",1
"Vernaschenswert",1
"Klasse Produkt",1
"Fruchtig",1
"Mal was neues",1
"Vegane Bio-Alternative zu Bratwürstchen!",1
"Delicious",1
"Guter Reiseproviant",1
"Für süße Biotanten perfekt!",1
"Top!",1
"super",1
"Superlecker",1
"Würdig",1
"toll :)",1
"Wahnsinn!",1
"Wunderbar!",1
"Vielfältig!",1
"Kräftig würzig",1
"WOW WOW WOW!!",1
"Tolle vegane Alternative",1
"Wirklich sehr lecker!",1
"Palmölfrei, Weizenfrei, vegan & bio!",1
"Delicious",1
"Top!",1
"Tolle vegane Alternative zu Mozzarella",1
"Megalecker",1
"Großartig",1
"Ein Bio-Produkt das schmeckt!",1
"Echt lecker",1
"Top!",1
"Wahnsinn! Der Hammer!",1
"Auf ganzer Linie überzeugt davon.",1
"Supi!",1
"Lecker",1
"Super lecker!",1
"Cremig mild",1
"Super Lecker!",1
"Toll!",1
"Tolles Bio-Produkt!",1
"Perfekt gelungenes, glutenfreies Bio-Produkt!",1
"So macht backen Spaß!",1
"Klasse!",1
"njamnjam",1
"Meine bevorzugte Zwischenmahlzeit",1
"Toller Snack",1
"Wir essen das immer..",1
"Zufriedenstellend!",1
"Sehr lecker",1
"Spitzen Produkt",1
"ein Original Schmalz Erlebnis",1
"Ganz gut",1
"Klasse!",1
"Leckere Schmalzbrote for the win",1
"Toll!",1
"Echt lecker",1
"Tolles Produkt!",1
"Gute Alternative",1
"OMG!",1
"Absolut lecker - fast wie Bruschetta ;-)",1
"Bei jeder Bestellung dabei",1
"Wie das Echte!",1
"Lecker!",1
"top!",1
"Sehr lecker",1
"Lecker... wenn man umami mag",1
"Der perfekte natürliche Geschmacksverstärker",1
"Vitam R ein leckerer Brotaufstrich",1
"Hmm! Top!",1
"Überraschung",1
"Gute Fertigsuppe",1
"Einfach nur Hammer!",1
"geschmack sehr gut",1
"Würdiger Vertreter des fleischlastigen Gyros!",1
"veganes, bio-zertifiziertes allroundtalent!!",1
